Env,cv,h2
ARH1_2016,0.09351505355262335,0.14438006584820126
ARH2_2016,0.1388776161862162,0.12058065281873649
DEH1_2016,0.10003155250197422,0.20208519810984144
GAH1_2016,0.1363915046548139,0.13551333565123289
GAH2_2016,0.1958016933970832,0.06506488697532462
IAH1_2016,0.11016868143833349,0.22584082758827217
IAH2_2016,0.12254013407104938,0.41681143554250594
IAH3_2016,0.1323243106951242,0.11759133551478043
IAH4_2016,0.09359652516258941,0.20442795351863527
ILH1_2016,0.11923886756503446,0.15333754903964306
INH1_2016,0.12991907556327728,0.19235352750843135
KSH1_2016,0.1940690867306874,0.17618573331334192
MIH1_2016,0.12419415131449013,0.18428009655118904
MNH1_2016,0.06681791305683948,0.27786182482280675
MOH1_2016,0.11718257481787296,0.23545672550709776
NCH1_2016,0.07788849001447162,0.22899599733606643
NEH1_2016,0.12979270513702998,0.16453586991205085
NEH4_2016,0.10328610046837458,0.1585864399347407
NYH1_2016,0.0916230467040964,0.16348142338308871
NYH2_2016,0.24775170310483294,0.11709138706910079
OHH1_2016,0.07043513552806863,0.34392625412256245
ONH1_2016,0.0965112160045579,0.14811118927501182
ONH2_2016,0.10657006169740295,0.1674762790365769
TXH1_2016,0.08762989132239177,0.21038300817105185
TXH2_2016,0.114541281215667,0.1786819525046531
WIH1_2016,0.10238864110094544,0.2598483426762939
WIH2_2016,0.13967301078551034,0.3281382638349998
ARH1_2017,0.2912487651479083,0.05120465539219098
ARH2_2017,0.13433320067583782,0.05644263346423345
COH1_2017,0.17497584943215838,0.07353070678762381
DEH1_2017,0.07182294148647733,0.26828932387587323
GAH1_2017,0.17716262052905363,0.10689293295161126
GAH2_2017,0.1552093239663608,0.040505622495298495
IAH1_2017,0.059799483499603,0.28733932302495513
IAH2_2017,0.0990468196099669,0.22299915410123933
IAH3_2017,0.06801822854651812,0.264240784112332
IAH4_2017,0.08318024178249282,0.2460879984867168
ILH1_2017,0.12554726238230265,0.0416858230641203
INH1_2017,0.07446483629526224,0.14067089093599514
MIH1_2017,0.12233944697294058,0.10202456496362969
MNH1_2017,0.16271109588244223,0.06929168164652003
MOH1_2017,0.13415597219728354,0.11939659319262995
NCH1_2017,0.08242869112660751,0.13460589164220668
NEH3_2017,0.19210260424576908,0.03936299916194865
NEH4_2017,0.1673285320499047,0.028768562365651427
NYH1_2017,0.12407020253045815,0.13090581951905156
NYH2_2017,0.10957458070402494,0.08922934692218965
NYH3_2017,0.12196470163822055,0.06891180085769538
OHH1_2017,0.20296631801358295,0.06399864914285452
ONH1_2017,0.10324049398262064,0.09938891802269398
ONH2_2017,0.07686493696564053,0.13016591344627595
TXH1-Dry_2017,0.05300217518671594,0.22104278429687954
TXH1-Early_2017,0.04897405995247457,0.2887869671432948
TXH1-Late_2017,0.09222655732514232,0.11193926354512244
TXH2_2017,0.11622414566942654,0.11650635219774426
WIH1_2017,0.09253306209520187,0.23081775214227546
WIH2_2017,0.08636436927326538,0.20439115711781092
ARH1_2018,0.038562803488616244,0.5206338622183224
ARH2_2018,0.03882491723548536,0.5569212321232073
DEH1_2018,0.10756249383544653,0.520463245840995
GAH1_2018,0.04949677313072258,0.6503309922664947
GAH2_2018,0.04655881435648513,0.6067960735253952
IAH1_2018,0.07797830464257009,0.31144659162464683
IAH2_2018,0.07301422749678455,0.32975346706397785
IAH3_2018,0.05516794540666128,0.34057263521043757
IAH4_2018,0.06267739662251674,0.44141061506866336
ILH1_2018,0.03732368359497233,0.6237833010000926
INH1_2018,0.04345267660264008,0.44869770747253906
KSH1_2018,0.15278030056574332,0.08213434499757678
MIH1_2018,0.06523553879886225,0.327819358510789
MNH1_2018,0.08664947106129921,1.0
MOH1_1_2018,0.045392258796200576,0.6585944376410048
MOH1_2_2018,0.05383563791307716,0.679868035165864
NCH1_2018,0.06636331835352553,0.6178038578896519
NEH2_2018,0.038407478877366064,0.44951859374232045
NYH1_2018,0.09073036378659691,0.3695842625404263
NYH2_2018,0.1309180224286976,0.20772547113704537
NYH3_2018,0.09553281288529193,0.26321024521831016
OHH1_2018,0.03859706136180151,0.5661700411578059
SCH1_2018,0.1391542383375994,0.3167806318133193
TXH1-Dry_2018,0.05530366646734402,0.4581080994390405
TXH1-Early_2018,0.052315458192627846,0.40791607652018963
TXH1-Late_2018,0.054499513779658164,0.49629406793930686
TXH2_2018,0.06967389041205116,0.46103558183890536
WIH1_2018,0.08694616057700115,0.28068047820073755
WIH2_2018,0.18373010128410483,0.24757603708983839
DEH1_2019,0.05733026285720312,0.6723058355233881
GAH1_2019,0.06041211715115873,0.7286968750836651
GAH2_2019,0.07907651715838299,0.2066499554886964
GEH1_2019,0.03360086856326949,0.30314055328315054
IAH1_2019,0.03266406341700797,0.6753043565532761
IAH2_2019,0.056457390067934966,0.5629876285038466
IAH3_2019,0.07626819223877458,0.4647838436035486
IAH4_2019,0.06498784305327866,0.5058558911083256
ILH1_2019,0.0249566045282501,0.7509444363067103
INH1_2019,0.01923293160823526,0.8193707776672889
MIH1_2019,0.03576764266263746,0.7453702112019022
MNH1_2019,0.11554622368476608,0.5129339270843221
MOH1_2019,0.09464625483002234,0.40886803873120897
NCH1_2019,0.03189124720838098,0.8028025094202881
NEH1_2019,0.04893645652132539,0.5638642871198118
NEH2_2019,0.016795817301804933,0.9181162525029367
NYH1_2019,0.12479803857419576,0.061558393500654535
NYH2_2019,0.10807254891764882,0.16198108873526235
NYH3_2019,0.08147971913058606,0.39238704341511393
OHH1_2019,0.08506630256336448,0.2688527318540766
ONH2_2019,0.022265487269012358,0.8653665800885941
